Network Code,Network Name,Network Operator
AK,Alaska Regional Network,University of Alaska Fairbanks
AT,National Tsunami Warning Center Alaska Seismic Network,National Oceanic and Atmospheric Administration
BK,Berkeley Digital Seismograph Network,University of California Berkeley
CI,Southern California Seismic Network,California Institute of Technology
DR,Centro Nacional de Sismologia,Universidad Autonoma de Santo Domingo
HV,Hawaiian Volcano Observatory Network,USGS Hawaiian Volcano Observatory
LD,Lamont-Doherty Cooperative Seismographic Network,Columbia University
MB,Montana Regional Seismic Network,Montana Tech of the University of Montana
NC,USGS Northern California Network,USGS Menlo Park
NE,New England Seismic Network,Albuquerque Seismological Laboratory
NM,Cooperative New Madrid Seismic Network,Saint Louis University
NN,Nevada Seismic Network,University of Nevada Reno
PR,Puerto Rico Seismic Network and Puerto Rico Strong Motion Program,University of Puerto Rico
PT,Pacific Tsunami Warning Seismic System,Pacific Tsunami Warning Center
SE,Southeastern Appalachian Cooperative Seismic Network,Virginia Tech
US,United States National Seismic Network,Albuquerque Seismological Laboratory
UU,University of Utah Regional Seismic Network,University of Utah
UW,Pacific Northwest Seismic Network,University of Washington
WY,Yellowstone Wyoming Seismic Network,University of Utah
