time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-16T19:37:32.570Z,-35.4648,-179.5779,35.0,5.0,mb,,157.0,2.699,0.95,us,us20008sj2,2017-03-16T20:31:30.040Z,East of the North Island of New Zealand,earthquake,12.8,1.9,0.115,24.0,reviewed,us,us
2017-03-16T18:39:24.680Z,-11.6429,114.5423,10.0,5.4,mb,,55.0,3.176,1.45,us,us20008siq,2017-03-16T20:16:27.040Z,"South of Bali, Indonesia",earthquake,3.2,1.8,0.077,61.0,reviewed,us,us
2017-03-16T18:28:34.620Z,-8.0473,160.8493,35.0,4.7,mb,,111.0,1.645,1.28,us,us20008six,2017-03-16T19:48:22.040Z,"81km NNE of Auki, Solomon Islands",earthquake,12.4,2.0,0.087,40.0,reviewed,us,us
2017-03-16T18:25:26.950Z,-8.0735,160.7629,35.0,5.1,mb,,63.0,1.577,1.17,us,us20008sim,2017-03-16T19:37:47.040Z,"77km N of Auki, Solomon Islands",earthquake,7.8,1.9,0.042,186.0,reviewed,us,us
2017-03-16T17:16:45.030Z,5.0864,127.7516,88.94,4.8,mb,,128.0,2.923,0.68,us,us20008sii,2017-03-16T19:01:25.040Z,"224km SE of Pondaguitan, Philippines",earthquake,9.4,8.5,0.084,44.0,reviewed,us,us
2017-03-16T15:38:09.650Z,4.8931,-72.6136,11.64,5.2,mb,,51.0,1.097,1.03,us,us20008shs,2017-03-16T20:23:49.961Z,"18km NNW of Ubala, Colombia",earthquake,5.2,4.4,0.027000000000000003,438.0,reviewed,us,us
2017-03-16T14:12:15.670Z,-6.3922,147.253,82.33,4.7,mb,,84.0,2.9939999999999998,1.46,us,us20008shl,2017-03-16T14:33:44.040Z,"47km NE of Lae, Papua New Guinea",earthquake,9.5,4.4,0.08900000000000001,38.0,reviewed,us,us
2017-03-16T08:29:14.400Z,-23.724,179.1622,540.75,5.1,mb,,58.0,6.039,0.77,us,us20008sfq,2017-03-16T08:47:15.040Z,South of the Fiji Islands,earthquake,9.7,7.5,0.066,75.0,reviewed,us,us
2017-03-16T08:08:05.780Z,-24.17,-66.9191,190.39,5.2,mb,,39.0,2.398,1.28,us,us20008sfi,2017-03-16T21:04:47.793Z,"61km W of San Antonio de los Cobres, Argentina",earthquake,9.3,20.4,0.036000000000000004,256.0,reviewed,us,us
2017-03-16T07:05:12.310Z,-33.9915,-72.1759,22.68,4.5,mwr,,75.0,0.574,0.68,us,us20008sf5,2017-03-16T21:04:18.834Z,"67km SW of San Antonio, Chile",earthquake,4.1,5.0,0.036000000000000004,73.0,reviewed,us,us
2017-03-16T06:30:42.380Z,-20.3361,-173.1111,10.0,5.2,mb,,107.0,3.25,1.19,us,us20008sf4,2017-03-16T06:50:14.040Z,"142km ESE of Pangai, Tonga",earthquake,10.6,1.9,0.078,54.0,reviewed,us,us
2017-03-15T22:19:42.190Z,51.2211,179.0567,22.68,5.6,mww,,45.0,0.218,1.32,us,us20008sd8,2017-03-16T16:16:14.613Z,"89km SSE of Little Sitkin Island, Alaska",earthquake,6.4,3.4,0.057999999999999996,29.0,reviewed,us,us
2017-03-15T21:47:15.310Z,51.1705,179.0891,27.81,4.9,mb,,130.0,0.245,0.98,us,us20008sd5,2017-03-15T22:13:42.587Z,"93km SSW of Semisopochnoi Island, Alaska",earthquake,8.0,4.8,0.040999999999999995,190.0,reviewed,us,us
2017-03-15T18:01:00.870Z,-5.9167,151.1342,46.86,4.9,mb,,64.0,1.9969999999999999,0.73,us,us20008sbb,2017-03-15T19:15:49.040Z,"117km ESE of Kimbe, Papua New Guinea",earthquake,8.3,8.0,0.07400000000000001,58.0,reviewed,us,us
2017-03-15T16:38:19.740Z,-5.4842,146.8759,212.01,4.5,mb,,77.0,3.905,1.03,us,us20008sar,2017-03-16T00:31:39.353Z,"123km ESE of Madang, Papua New Guinea",earthquake,10.4,8.5,0.079,47.0,reviewed,us,us
2017-03-15T15:17:19.730Z,60.926,165.5867,16.55,4.9,mb,,111.0,7.178999999999999,0.65,us,us20008s9z,2017-03-15T22:07:32.040Z,"58km NNW of Tilichiki, Russia",earthquake,8.5,4.1,0.032,316.0,reviewed,us,us
2017-03-15T09:59:10.890Z,-6.8069,129.9902,132.78,4.5,mb,,89.0,1.746,0.81,us,us20008s97,2017-03-15T10:22:51.040Z,"193km NW of Saumlaki, Indonesia",earthquake,8.8,6.6,0.121,20.0,reviewed,us,us
2017-03-15T05:35:16.900Z,-5.5079,154.0038,42.16,4.8,mb,,119.0,2.252,1.22,us,us20008s8i,2017-03-15T06:24:49.040Z,"157km SE of Taron, Papua New Guinea",earthquake,9.6,4.8,0.096,34.0,reviewed,us,us
2017-03-15T02:26:53.980Z,-7.9489,107.8601,67.86,4.6,mb,,119.0,2.638,1.18,us,us20008s80,2017-03-15T02:45:59.040Z,"26km SSW of Ciheras, Indonesia",earthquake,8.2,6.4,0.085,41.0,reviewed,us,us
2017-03-15T01:38:57.450Z,1.7687,127.0391,65.78,5.1,mb,,54.0,1.043,0.77,us,us20008s7z,2017-03-15T01:56:13.040Z,"108km W of Tobelo, Indonesia",earthquake,6.8,6.4,0.067,72.0,reviewed,us,us
2017-03-15T00:23:24.020Z,-44.9371,167.6442,130.64,4.5,mb,,82.0,0.544,0.85,us,us20008s7t,2017-03-15T00:59:48.786Z,"53km N of Te Anau, New Zealand",earthquake,7.1,7.2,0.128,18.0,reviewed,us,us
