service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A20120610WKD,1,1,1,1,1,0,0,20120610,20121231
A20120610SAT,0,0,0,0,0,1,0,20120610,20121231
A20120610SUN,0,0,0,0,0,0,1,20120610,20121231
B20120610WKD,1,1,1,1,1,0,0,20120610,20121231
B20120610SAT,0,0,0,0,0,1,0,20120610,20121231
B20120610SUN,0,0,0,0,0,0,1,20120610,20121231
R20100324WKD,1,1,1,1,1,0,0,20100324,20121231
R20100324SAT,0,0,0,0,0,1,0,20100324,20121231
R20100324SUN,0,0,0,0,0,0,1,20100324,20121231
S20100324MON,1,0,0,0,0,0,0,20100324,20121231
