route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,A20120610WKD,A20120610WKD_000800_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_007300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_002700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_009300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_004700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_011300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_006700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_013300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_008700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_015300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_010700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_017300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_012700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_019300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_014700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_021300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_016700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_023300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_018700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_025300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_020700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_027300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_022700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_029300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_024700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_031300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_026700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_033300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_028400_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_034700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_029900_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_036000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_031050_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_037000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_031850_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_038000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_032650_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_039000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_033450_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_039900_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_034250_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_040700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_035050_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_041500_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_035850_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_042300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_036650_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_043000_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_037450_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_043700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_038250_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_044400_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_039050_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_045100_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_039650_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_045700_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_040250_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20120610WKD,A20120610WKD_046300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_040650_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_046800_1..N12R,137 ST - CITY COLLEGE,0,,
1,A20120610WKD,A20120610WKD_041250_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20120610WKD,A20120610WKD_047300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_041650_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_047800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_042100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_048300_1..N12R,137 ST - CITY COLLEGE,0,,
1,A20120610WKD,A20120610WKD_042700_1..S04R,SOUTH FERRY,1,,1..S04R
1,A20120610WKD,A20120610WKD_048800_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_043100_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20120610WKD,A20120610WKD_049300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20120610WKD,A20120610WKD_043500_1..S03R,SOUTH FERRY,1,,1..S03R
