OBJECTID,Shape,NAME,URL,LINE
1,"(40.68672833100004, -73.9902719989999)",Smith St & Bergen St At Ne Corner (To Manhattan And Queens Only),http://www.mta.info/nyct/service/,F-G
2,"(40.69372533200004, -73.99067800099994)",Court St & Montague St At Sw Corner,http://www.mta.info/nyct/service/,2-3-4-5-N-R
3,"(40.693642331000035, -73.99059199899995)",Court St & Montague St At Sw Corner,http://www.mta.info/nyct/service/,2-3-4-5-N-R
4,"(40.694393120000086, -73.9925373559999)",Clinton St & Montague St At Nw Corner,http://www.mta.info/nyct/service/,2-3-4-5-N-R
5,"(40.66272735800004, -73.96224891499992)",Flatbush Ave & Empire Blvd At Sw Corner,http://www.mta.info/nyct/service/,B-Q-S
6,"(40.67716435300008, -73.98339416899995)",4th Ave & Union St At Sw Corner (To Bay Ridge And Coney Island Only),http://www.mta.info/nyct/service/,D-N-R
7,"(40.677051636000044, -73.98308231199991)",4th Ave & Union St At Se Corner (To Manhattan Only),http://www.mta.info/nyct/service/,D-N-R
8,"(40.677195091000044, -73.98298999699995)",4th Ave & Union St At Se Corner (To Manhattan Only),http://www.mta.info/nyct/service/,D-N-R
9,"(40.680699332000074, -73.97520899999995)",Flatbush Ave & Bergen St At Sw Corner (To New Lots And Flatbush Only),http://www.mta.info/nyct/service/,2-3-4
10,"(40.692044114000055, -73.98621464299993)",Lawrence St & Willoughby St At Ne Corner,http://www.mta.info/nyct/service/,N-R
11,"(40.69225841600007, -73.9861137709999)",Lawrence St & Willoughby St At Se Corner,http://www.mta.info/nyct/service/,N-R
12,"(40.69044933300006, -73.98527100199993)",Hoyt St & Fulton St At Sw Corner (To New Lots And Flatbush Only),http://www.mta.info/nyct/service/,2-3
13,"(40.69089533500005, -73.98525500099993)",Bridge St & Fulton St At Ne Corner (To Manhattan Only),http://www.mta.info/nyct/service/,2-3
14,"(40.69044233300008, -73.98455099799992)",Duffield St & Fulton St At Nw Corner (To Manhattan Only),http://www.mta.info/nyct/service/,2-3
15,"(40.69040733500009, -73.98434700099995)",Duffield St & Fulton St At Ne Corner (To Manhattan Only),http://www.mta.info/nyct/service/,2-3
16,"(40.69209560200005, -73.98536143699994)",Bridge St & Willoughby St At Sw Corner,http://www.mta.info/nyct/service/,N-R
17,"(40.69223493900006, -73.98519673699991)",Bridge St & Willoughby St At Ne Corner,http://www.mta.info/nyct/service/,N-R
18,"(40.691508801000055, -73.98215994499992)",Flatbush Ave & Fleet St At Ne Corner,http://www.mta.info/nyct/service/,B-D-N-Q-R
19,"(40.68392533300005, -73.97887099999991)",4th Ave & Pacific St At Nw Corner,http://www.mta.info/nyct/service/,2-3-4-5-B-D-N-Q-R
20,"(40.685155114000054, -73.97774737199995)",Ashland Pl & Hanson Pl At Ne Corner,http://www.mta.info/nyct/service/,2-3-4-5-B-D-N-Q-R
21,"(40.692356595000035, -73.98619067599992)",Lawrence St & Willoughby St At Ne Corner,http://www.mta.info/nyct/service/,N-R
