OBJECTID,Shape,NAME,ID,ADDRESS,CITY,ZIP,PHONE,TYPE,URL
1,"(40.84807994600004, -73.93587786099994)",111 Wadsworth Ave,1115,111 Wadsworth Ave,New York,10033,212-568-3417,Free,http://v4.jiwire.com/wi-fi-wireless-hotspot-New-York-New-York-NY-US-111-Wadsworth-Avenue-17B-1284187.htm
2,"(40.76611954300006, -73.98791631199992)",404 W 54th Street,1117,404 W 54th Street,New York,10019, ,Free, 
3,"(40.73336500100004, -73.99938299299993)",Barnes & Noble,1120,396 Avenue of the Americas,New York,10011,212-674-8780,Free,http://www.barnesandnobleinc.com
4,"(40.732595090000075, -73.99755181599994)",Gizzi's Coffee,1131,16 W. 8th Street,New York,10011,212-260-9700,Free,http://www.openwifinyc.com/classic/a/Gizzis-Coffee-NY-10011
5,"(40.63824581200004, -73.7852876199999)",JFK International Airport - Continental Airlines Presidents Club,1137,Terminal 3 near Gate 6,Jamaica,11430, ,Free,http://www.continental.com/web/en-US/content/travel/airport/lounge/detaillocations.aspx#New%20York
6,"(40.77394694900005, -73.87021737599991)",LaGuardia Airport - Continental Airlines Presidents Club,1139,"Concourse A, third level",Flushing,11371,718-505-7435,Free,http://www.continental.com/web/en-US/content/travel/airport/lounge/detaillocations.aspx#New%20York
7,"(40.76856292700006, -73.8615473289999)",LaGuardia Airport - Northwest WorldClubs Lounge,1141,Behind the Northwest ticket counter,Flushing,11371,718-476-7196,Free,http://www.continental.com/web/en-US/content/travel/airport/lounge/detaillocations.aspx#New%20York
8,"(40.705118249000066, -74.0183821519999)",Wagner Park,1175,Battery  Place & 1 Place,New York,10280, ,Free,http://www.nycwireless.net/press/wagner-park-gets-hotter-with-wi-fi/
9,"(40.840409771000054, -73.8768904929999)",McDonald's,233,1101 E Tremont Ave,Bronx,10460, ,Fee-based,http://www.mcdonalds.com/wireless.html
10,"(40.89298107800005, -73.85725811099991)",McDonald's,234,4174 White Plains Rd,Bronx,10466, ,Fee-based,http://www.mcdonalds.com/wireless.html
11,"(40.80766949400004, -73.91882831099991)",McDonald's,235,513 E 138th St,Bronx,10454, ,Fee-based,http://www.mcdonalds.com/wireless.html
12,"(40.85545387900004, -73.86731573599991)",McDonald's,236,2170 White Plains Rd,Bronx,10462, ,Fee-based,http://www.mcdonalds.com/wireless.html
13,"(40.88955408400005, -73.84330846799992)",McDonald's,237,1201 E 233rd St,Bronx,10466, ,Fee-based,http://www.mcdonalds.com/wireless.html
14,"(40.85477094300006, -73.88853625299993)",McDonald's,238,2357 Arthur Ave,Bronx,10458, ,Fee-based,http://www.mcdonalds.com/wireless.html
15,"(40.83549139000007, -73.89065010099995)",McDonald's,239,1600 Boston Rd,Bronx,10460, ,Fee-based,http://www.mcdonalds.com/wireless.html
16,"(40.825175915000045, -73.90861401099994)",McDonald's,240,3279 3rd Avenue,Bronx,10456, ,Fee-based,http://www.mcdonalds.com/wireless.html
17,"(40.83506530800008, -73.91994045199993)",McDonald's,241,86 E 167th St,Bronx,10452, ,Fee-based,http://www.mcdonalds.com/wireless.html
18,"(40.839681505000044, -73.91552217299994)",McDonald's,242,101 E 170th St,Bronx,10452, ,Fee-based,http://www.mcdonalds.com/wireless.html
19,"(40.88405235100004, -73.90169801199994)",McDonald's,243,5765 Broadway,Bronx,10463, ,Fee-based,http://www.mcdonalds.com/wireless.html
20,"(40.85432915800004, -73.90727261899991)",McDonald's,244,2065 Jerome Ave,Bronx,10453, ,Fee-based,http://www.mcdonalds.com/wireless.html
21,"(40.844490535000034, -73.84660241899991)",McDonald's,245,1515 Williamsbridge Rd,Bronx,10461, ,Fee-based,http://www.mcdonalds.com/wireless.html
22,"(40.833203325000056, -73.85875233099995)",McDonald's,246,1982 Westchester Ave,Bronx,10462, ,Fee-based,http://www.mcdonalds.com/wireless.html
23,"(40.88125122800005, -73.88244180899994)",McDonald's,247,3440-42 Jerome Ave,Bronx,10467, ,Fee-based,http://www.mcdonalds.com/wireless.html
24,"(40.82250681000005, -73.89136154099992)",McDonald's,248,982 Southern Blvd,Bronx,10459, ,Fee-based,http://www.mcdonalds.com/wireless.html
